,Actual Speed,Goal Speed,Goal Status,Ori W,Ori X,Ori Y,Ori Z,Pos X,Pos Y,Pos Z,Time
2,0.0012990002,0.0,0,0.9255853099,-0.0010882794,0.0030294759,0.3785253914,0.0802371658,-25.4520986423,0.1957505294,2.63
3,0.1325920827,0.0,0,0.9256313157,-0.0019110695,0.0045648270000000005,0.3783942092,0.0833155543,-25.4491729839,0.1960239306,2.69
4,-0.0571562981,0.0,0,0.9256826691000001,-0.001478284,0.0039355513,0.3782775731,0.0854498944,-25.4470270063,0.1961862814,2.7325
5,-0.3277854331,0.0,0,0.9257227953,-0.0012962457000000001,0.0037743877,0.3781816759,0.08688880660000001,-25.4456843383,0.19614192930000002,2.775
6,-0.1076497562,0.0,0,0.9257039328000001,-0.0018992032,0.0050413111,0.3782105327,0.0879749975,-25.4448330342,0.1960070087,2.8175
7,0.0134392603,1.1392513796000001,0,0.9257397798,-0.0016908048,0.0051664976,0.3781220816,0.0872537402,-25.4455838716,0.1961894495,2.8775
8,0.1948165606,1.1392513796000001,0,0.92516897,0.0051425302,-0.0116971954,0.3793403576,0.0886984128,-25.4445121236,0.19586987120000002,2.92
9,0.2026375998,2.7207756955,0,0.9249688849000001,0.0046931177,-0.007142479,0.3799467352,0.09980541450000001,-25.4348614114,0.1951957283,2.965
10,0.6945093082,5.3620447717,0,0.9246346241000001,0.005078684,-0.0077755048,0.3807421181,0.13265828100000002,-25.4037435006,0.195203909,3.0425
11,1.047887424,5.665737233,0,0.9248673518,0.0036015693000000003,-0.0082633573,0.38018301800000004,0.1612049744,-25.374974293,0.19530091130000002,3.085
12,1.0714046453,5.5605290836,0,0.9249641899000001,0.0039267149,-0.009711916400000001,0.3799098669,0.1923713735,-25.3435192485,0.19542217990000002,3.1175
13,1.6254040945,5.4473636167,0,0.9248110895,0.0041581743,-0.0071650355,0.38033645720000003,0.2460787847,-25.2913131266,0.1959039199,3.175
14,1.836726402,5.3474973587,0,0.924327797,0.0063478009000000005,-0.0062062195,0.38149614940000004,0.3043501542,-25.2361287736,0.1964135583,3.215
15,2.0666061441,5.1333008516,0,0.9238174307,0.0049570606,-0.0071826359000000005,0.3827338396,0.39316564860000003,-25.1484895724,0.1959990675,3.2825
16,2.3172822216,4.9746224257,0,0.9236108548,0.0048054421000000005,-0.0068239131000000005,0.3832405652,0.4616665599,-25.0792277942,0.1960225303,3.3175
17,2.6761940467,4.8423308132,0,0.9235512083,0.0047756804,-0.0056257236,0.3834041076,0.5853391872,-24.9558087192,0.1965713204,3.39
18,2.8002138551,4.8423308132,0,0.9222015720000001,0.0058093924,-0.0072327482,0.3865982396,0.6611060747,-24.8789926891,0.1966387156,3.425
19,3.3707609088,4.9355968719,0,0.9213836556,0.005298989400000001,-0.0068100046,0.3885584946,0.7868087795,-24.7494275254,0.19635045850000002,3.48
20,3.523210506,4.9355968719,0,0.9203983773000001,0.0055516451000000005,-0.0062088036,0.3908931531,0.8935260419000001,-24.6381925473,0.1962097489,3.54
21,3.6729531282,4.9355968719,0,0.9196332557,0.0053251999999999996,-0.0064953351,0.3926883344,1.0141308226,-24.511679129,0.19631355050000002,3.5725
22,4.1593174566,4.1185879955,0,0.9189644567,0.0048698217000000005,-0.0060750293000000006,0.39426349850000003,1.1497350332,-24.368008497,0.196501907,3.6275
23,3.9387550958,4.1185879955,0,0.9184895602,-0.0007059422,0.0047787042,0.3954157224,1.27919004,-24.2307817314,0.196694911,3.6775
24,4.4848114779,3.0214424455,0,0.9167378827,0.0026378877,0.0008929344,0.3994795347,1.4152650874,-24.085952715,0.1968633846,3.7199999999999998
25,3.9442150305,2.3297245469,0,0.9142348360000001,-0.0008957944,0.0105315753,0.40504684690000003,1.591311791,-23.8925701641,0.19672737240000002,3.7800000000000002
26,4.0035082533,8.3538500583,0,0.9116407335000001,-0.0007625700000000001,0.0094871772,0.41087782240000004,1.6897034639,-23.7790841682,0.1967077637,3.8200000000000003
27,4.4705960367,5.2660708141,0,0.9089488327,0.0056375654,-0.0089394381,0.4167737083,1.8159422905,-23.6288764173,0.1965651981,3.885
28,4.3819042883,4.908408372,0,0.9067000804,0.0043212878,-0.0069401438000000005,0.4216967216,1.9785206591,-23.4330951743,0.1963694366,3.9375
29,4.5091760586,4.388053938,0,0.9067066413,0.0018353036000000001,-0.0008086375,0.42175709170000003,2.1306994085,-23.2519926467,0.19668906930000002,3.9775
30,4.3418110615,3.934795888,0,0.9067712959,-0.0028979437000000003,0.0075451729,0.4215453585,2.242265062,-23.1203181022,0.1969359564,4.0175
31,4.3207386322,3.934795888,0,0.9064644602,-0.0020305513,0.0087585739,0.4221863884,2.4436150906,-22.883070351,0.19713721580000002,4.09
32,3.9568280178,3.3665575632999998,0,0.9057335657000001,-0.0009440737,0.0081407396,0.423768268,2.5607262131,-22.7438311053,0.19699357380000002,4.13
33,4.4613007959,6.2922871059,0,0.9062499456,0.0044769141,-0.0056049864,0.4226814138,2.6875312985,-22.5917514021,0.1967850412,4.18
34,4.5373840275,6.0559663047,0,0.9060280659000001,0.006116219,-0.007984925,0.42309806980000003,2.8206230746000003,-22.4323622301,0.1964610072,4.2275
35,4.7959388523,5.6493969424,0,0.9063277310000001,0.0053109708,-0.0049167571,0.4225135065,2.9711575197,-22.2537271814,0.1964865862,4.2725
36,5.1086086175,5.1726269091,0,0.9089108776,0.0024185025,-0.0026009139,0.4169753022,3.1889694163,-21.9980588881,0.19662911400000002,4.3425
